city,state_abbr,zip,status,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,ev_connector_types
Galveston,TX,77550,E,Public,Blink Network,29.308233,-94.79273,61797,,,,J1772
Albany,NY,12203,E,Public,ChargePoint Network,42.6791149,-73.8366303,70496,,,,J1772
Fort Collins,CO,80526,E,Public,,40.5559661,-105.0979855,66532,LG,,,J1772
Los Angeles,CA,90067,E,Public,ChargePoint Network,34.0611909,-118.4138943,65502,,,,J1772
Dearborn,MI,48121,E,Private,GE WattStation,42.30582837,-83.23885169,73055,,,,J1772
Springfield,OR,97477,E,Public,Blink Network,44.047691,-123.020135,49186,,,,J1772
Melbourne,FL,32901,E,Public,ChargePoint Network,28.0624233,-80.6218815,51966,,,,NEMA520 J1772
Brockton,MA,2301,E,Public,ChargePoint Network,42.0483833,-71.004738,73688,,,,J1772
Lahaina,HI,96761,E,Public,OpConnect,20.919806,-156.694844,45976,P,,,J1772
Clarksburg,WV,26301,E,Public - Call ahead,,39.277617,-80.299608,60983,P,,,J1772
San Rafael,CA,94901,E,Public,ChargePoint Network,37.9554364,-122.4913568,53395,,,,J1772
